Datetime,DA-Price,Wind,Solar,Load
01.01.2015 01:00,12.44,65,0,6068
01.01.2015 02:00,14.08,69,0,5963
01.01.2015 03:00,16.09,64,0,5726
01.01.2015 04:00,23.98,64,0,5346
01.01.2015 05:00,26.36,63,0,5249
01.01.2015 06:00,26.9,63,0,5308
01.01.2015 07:00,23.93,83,0,5574
01.01.2015 08:00,16.1,131,0,5925
01.01.2015 09:00,16.04,109,1,6343
01.01.2015 10:00,16.05,146,9,6881
01.01.2015 11:00,16.08,145,21,6962
01.01.2015 12:00,16.08,157,31,7109
01.01.2015 13:00,14.68,186,36,7135
01.01.2015 14:00,14.04,243,35,7013
01.01.2015 15:00,12.39,298,27,6735
01.01.2015 16:00,12.01,326,13,6542
01.01.2015 17:00,10.76,345,2,6603
01.01.2015 18:00,14.5,309,0,6734
01.01.2015 19:00,14.95,204,0,6626
01.01.2015 20:00,14.6,221,0,6738
01.01.2015 21:00,16.04,250,0,6654
01.01.2015 22:00,18.29,138,0,6255
01.01.2015 23:00,25.02,91,0,6221
02.01.2015 00:00,-0.33,103,0,5864
02.01.2015 01:00,10.4,105,0,5533
02.01.2015 02:00,12.22,78,0,5205
02.01.2015 03:00,14.26,126,0,4971
02.01.2015 04:00,19.08,194,0,4669
02.01.2015 05:00,25.06,224,0,4755
02.01.2015 06:00,25.1,237,0,5080
02.01.2015 07:00,16.09,210,0,5421
02.01.2015 08:00,14.66,242,0,5855
02.01.2015 09:00,14.7,301,3,6366
02.01.2015 10:00,14.52,369,15,6431
02.01.2015 11:00,15.41,412,32,6699
02.01.2015 12:00,15.08,406,49,6542
02.01.2015 13:00,14.64,423,58,6310
02.01.2015 14:00,14.56,478,55,6257
02.01.2015 15:00,14.25,519,40,6306
02.01.2015 16:00,10.06,578,19,6501
02.01.2015 17:00,0.08,552,4,6888
02.01.2015 18:00,-13.48,1048,0,5972
02.01.2015 19:00,-46.97,1498,0,5891
02.01.2015 20:00,-31.41,1614,0,5807
02.01.2015 21:00,-19.37,1702,0,5313
02.01.2015 22:00,-19.63,1636,0,5378
02.01.2015 23:00,-12.11,1511,0,5325
03.01.2015 00:00,14.27,1406,0,5145
03.01.2015 01:00,27.7,1372,0,5827
03.01.2015 02:00,27.26,1350,0,5778
03.01.2015 03:00,35.98,1303,0,5467
03.01.2015 04:00,47.62,1240,0,5201
03.01.2015 05:00,49.82,1145,0,5244
03.01.2015 06:00,45.96,1423,0,5404
03.01.2015 07:00,33.85,1366,0,5402
03.01.2015 08:00,29.33,1323,0,5552
03.01.2015 09:00,27.07,1296,5,5475
03.01.2015 10:00,22.4,1058,19,5612
03.01.2015 11:00,23.03,903,40,5660
03.01.2015 12:00,22.31,718,58,5663
03.01.2015 13:00,16.73,502,65,5304
03.01.2015 14:00,14.29,293,59,4932
03.01.2015 15:00,9.9,279,43,4705
03.01.2015 16:00,4.46,356,22,4832
03.01.2015 17:00,-8.67,346,5,5123
03.01.2015 18:00,0.03,300,0,6064
03.01.2015 19:00,-0.04,114,0,5937
03.01.2015 20:00,0.01,82,0,5766
03.01.2015 21:00,-5.03,68,0,5697
03.01.2015 22:00,-0.07,66,0,5328
03.01.2015 23:00,-0.08,53,0,5570
04.01.2015 00:00,24.9,61,0,5451
04.01.2015 01:00,29.74,57,0,5513
04.01.2015 02:00,28.66,143,0,5234
04.01.2015 03:00,28.92,568,0,5105
04.01.2015 04:00,29.42,1080,0,4803
04.01.2015 05:00,29.59,1424,0,4797
04.01.2015 06:00,28.94,1639,0,4867
04.01.2015 07:00,17.55,1671,0,5034
04.01.2015 08:00,14.36,1666,0,5384
04.01.2015 09:00,12.01,1731,3,5513
04.01.2015 10:00,11.18,1849,13,5566
04.01.2015 11:00,14.31,1920,28,5618
04.01.2015 12:00,14.68,1944,40,5621
04.01.2015 13:00,11.54,1913,45,5540
04.01.2015 14:00,9.62,1909,41,5454
04.01.2015 15:00,0.05,1885,30,5162
04.01.2015 16:00,-0.05,1839,16,5043
04.01.2015 17:00,-3.18,1824,3,5291
04.01.2015 18:00,-0.01,1812,0,4946
04.01.2015 19:00,0,1802,0,4833
04.01.2015 20:00,0.01,1777,0,5034
04.01.2015 21:00,-0.04,1673,0,5066
04.01.2015 22:00,0.02,1560,0,4752
04.01.2015 23:00,9.32,1405,0,5092
05.01.2015 00:00,30.03,1421,0,5177
05.01.2015 01:00,35.08,1472,0,6180
05.01.2015 02:00,40,1566,0,6004
05.01.2015 03:00,44.32,1574,0,5987
05.01.2015 04:00,49.23,1548,0,5758
05.01.2015 05:00,58.84,1460,0,5692
05.01.2015 06:00,56.78,1369,0,5978
05.01.2015 07:00,46.7,1300,0,6252
05.01.2015 08:00,43.1,1235,0,6769
05.01.2015 09:00,42,1147,3,6832
05.01.2015 10:00,41.92,1363,17,7129
05.01.2015 11:00,40.72,1420,35,7427
05.01.2015 12:00,40.97,1650,49,7268
05.01.2015 13:00,40.46,1579,55,7289
05.01.2015 14:00,41.51,1598,51,7422
05.01.2015 15:00,39.09,1845,38,7260
05.01.2015 16:00,37.63,1832,19,7390
05.01.2015 17:00,26.61,1788,4,7248
05.01.2015 18:00,16.38,1812,0,7790
05.01.2015 19:00,17.38,1784,0,7560
05.01.2015 20:00,16.38,1704,0,7350
05.01.2015 21:00,15.17,1498,0,7251
05.01.2015 22:00,17.93,1338,0,6582
05.01.2015 23:00,22.34,1262,0,6428
06.01.2015 00:00,26.97,1164,0,6182
06.01.2015 01:00,28.46,1112,0,5523
06.01.2015 02:00,29.15,959,0,5220
06.01.2015 03:00,32.92,866,0,5014
06.01.2015 04:00,39.57,790,0,4867
06.01.2015 05:00,45.71,740,0,4973
06.01.2015 06:00,45.96,716,0,4926
06.01.2015 07:00,40.32,588,0,4741
06.01.2015 08:00,37.38,642,0,5436
06.01.2015 09:00,30.73,614,3,5820
06.01.2015 10:00,29.99,440,17,6248
06.01.2015 11:00,30.06,320,36,6608
06.01.2015 12:00,31.22,398,53,6946
06.01.2015 13:00,33.99,485,62,6641
06.01.2015 14:00,40.02,550,58,6203
06.01.2015 15:00,40.76,526,44,5993
06.01.2015 16:00,38.82,469,24,6009
06.01.2015 17:00,29.67,421,6,6565
06.01.2015 18:00,29.64,319,0,7218
06.01.2015 19:00,30.63,382,0,7111
06.01.2015 20:00,30.29,268,0,6675
06.01.2015 21:00,30.25,152,0,6039
06.01.2015 22:00,30.57,93,0,5732
06.01.2015 23:00,30.02,59,0,6083
07.01.2015 00:00,22.11,93,0,5728
07.01.2015 01:00,27.02,177,0,5973
07.01.2015 02:00,27.42,189,0,5568
07.01.2015 03:00,33.86,270,0,5642
07.01.2015 04:00,44.83,304,0,5547
07.01.2015 05:00,47.42,458,0,5846
07.01.2015 06:00,51.07,531,0,6134
07.01.2015 07:00,47.14,627,0,6658
07.01.2015 08:00,48,762,0,7556
07.01.2015 09:00,50.88,755,2,7300
07.01.2015 10:00,51.46,766,15,7589
07.01.2015 11:00,50.15,781,33,8031
07.01.2015 12:00,51.22,759,49,8167
07.01.2015 13:00,50,593,57,8316
07.01.2015 14:00,48.91,442,52,8395
07.01.2015 15:00,47.91,369,40,8556
07.01.2015 16:00,45.98,329,21,8250
07.01.2015 17:00,31.43,293,5,7678
